course_id,course_title,course_tagline,course_description,course_order,course_color,level_id,level_title,level_order,level_topic,pass_mark,xp_per_correct,question_id,topic,question,option_a,option_b,option_c,option_d,correct,explanation,resource_title,resource_url
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l1,Claude Basics,1,Claude Basics,70,10,sno-4,Claude Basics,Who needs to complete the initial setup before team members can use Enterprise Search?,Anthropic support team,Each individual user,The IT security team,An organization Owner (admin),D,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l1,Claude Basics,1,Claude Basics,70,10,sno-6,Claude Basics,What can you do with a published artifact?,Only view it—no interaction is possible,"Share it with anyone via link, and others can ""remix"" it in their own Claude conversations",It automatically gets posted to social media,It becomes permanently locked and cannot be modified,B,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l1,Claude Basics,1,Claude Basics,70,10,sno-17,Claude Basics,Why does context management matter for long-running agents?,Claude refuses requests that use more than half the window,Old messages are deleted automatically after ten turns,The window is finite and you pay for what's in it — so the goal is fitting the right things in,"Bigger contexts always improve quality, so you want them full",C,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l1,Claude Basics,1,Claude Basics,70,10,sno-20,Claude Basics,What do subagents enable when Cowork is handling a large task with independent pieces?,They let Cowork run tasks on other computers in your network,They automatically retry failed steps without telling you,"They work on separate pieces at the same time, each with its own focused context",They store each piece of work permanently so it can be reused later,C,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l1,Claude Basics,1,Claude Basics,70,10,sno-21,Claude Basics,How does a Cowork project's memory differ from memory in Claude chat?,Cowork project memory is larger and can hold more information,"A Cowork project's memory stays inside that project, while chat memory applies across all your conversations",They work the same way and share the same stored information,Cowork project memory is read-only and cannot be updated during a task,B,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l1,Claude Basics,1,Claude Basics,70,10,sno-23,Claude Basics,A scheduled task was due while your computer was asleep. What happens?,The task is skipped and will run at the next scheduled time,The task fails and you need to reschedule it manually,The task runs in the cloud and the result is waiting when you wake the computer,Cowork runs the task as soon as you're back and lets you know it was delayed,C,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l1,Claude Basics,1,Claude Basics,70,10,sno-25,Claude Basics,What's the recommended habit before sending a Cowork output onward or acting on it?,Run the same task a second time and compare the two outputs,Ask Claude to grade its own work on a scale of one to ten,"Review it yourself, since a polished result can still be wrong",Trust the result if Claude didn't flag any issues during the task,C,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l2,Claude Basics 2,2,Claude Basics,70,10,sno-26,Claude Basics,"When you point Cowork at a working folder, what does that enable?",The folder contents are copied to Anthropic servers for processing,All files in the folder are automatically backed up before each task,"Claude can read, create, and edit files there directly, without an upload or download step",Claude gets read-only access and saves any outputs to a separate location,C,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l2,Claude Basics 2,2,Claude Basics,70,10,sno-28,Claude Basics,What is the fundamental limitation of language models that necessitates the use of a tool system in coding assistants?,They can only generate code in specific programming languages,They have limited memory capacity for large codebases,They cannot understand complex programming concepts,They can only process text input/output and cannot directly interact with external systems,D,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l2,Claude Basics 2,2,Claude Basics,70,10,sno-34,Claude Basics,"A developer wants to prevent Claude from reading sensitive .env files. Which type of hook should they set up, and what tool names would they likely match?","PostToolUse hook, matching Write and Edit","PreToolUse hook, matching Write and Create","PreToolUse hook, matching Read and Grep","PostToolUse hook, matching Read and Delete",C,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l2,Claude Basics 2,2,Claude Basics,70,10,sno-42,Claude Basics,"Which of the following best describes ""Product Description"" within the Description competency?",Explaining which AI platform to use for a task,Clearly defining what you want the AI to create or provide,Evaluating whether AI outputs meet your requirements,Taking responsibility for AI-generated content accuracy,B,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l2,Claude Basics 2,2,Claude Basics,70,10,sno-47,Claude Basics,"You ask Claude ""What is pizza?"" and it answers. Then you ask ""What toppings are popular?"" but Claude doesn't understand what you're referring to. What's the problem?",Your internet connection is slow,Claude is broken,You asked too quickly,Claude doesn't remember previous messages,D,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l2,Claude Basics 2,2,Claude Basics,70,10,sno-60,Claude Basics,You want Claude to create a workout plan. Which opening line works better?,"""Create a 30-minute workout plan for beginners""","""Do you know anything about exercise?""","""I was wondering about workouts and fitness stuff""","""What kind of workout should I do?""",A,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l2,Claude Basics 2,2,Claude Basics,70,10,sno-66,Claude Basics,"When Claude uses a tool, what type of message structure does it return?",Multi-block messages with text and tool use blocks,Simple text-only responses,JSON data without any text,Error messages only,A,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l3,Claude Basics 3,3,Claude Basics,70,10,sno-70,Claude Basics,"Claude can only access information from its training data by default. What allows Claude to get current, real-time information?",Making educated guesses based on patterns,Searching through its training data more carefully,Asking the user to provide more details,Using tools to access external information,D,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l3,Claude Basics 3,3,Claude Basics,70,10,sno-74,Claude Basics,What is the primary purpose of citations in Claude?,To create a clear trail from Claude's response back to specific parts of source documents,To compress large documents for faster processing,To count the number of words in a document,To automatically generate footnotes for academic papers,A,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l3,Claude Basics 3,3,Claude Basics,70,10,sno-75,Claude Basics,"When Claude uses extended thinking, what two parts do you get in the response?",Reasoning process and final answer,Problem and solution,Input and output,Question and answer,A,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l3,Claude Basics 3,3,Claude Basics,70,10,sno-77,Claude Basics,What is a key limitation of Claude's Code Execution tool?,It can only run JavaScript code,It has no network access and runs in an isolated Docker container,It requires users to provide their own execution environment,It can only process text files,B,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l3,Claude Basics 3,3,Claude Basics,70,10,sno-86,Claude Basics,"You want Claude to write a report, then check if it's good enough, and improve it if needed. What pattern are you using?",Chaining workflow,Evaluator-Optimizer pattern,Parallelization workflow,Routing workflow,B,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l3,Claude Basics 3,3,Claude Basics,70,10,sno-90,Claude Basics,You need to choose between a workflow and an agent for your app. Reliability and predictable results are most important to you. Which should you pick?,Always use an agent for maximum flexibility,Use a workflow since it's more reliable and testable,Combine both approaches equally,Use whichever is easier to code,B,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l3,Claude Basics 3,3,Claude Basics,70,10,sno-102,Claude Basics,"You ask Claude ""What is pizza?"" and it answers. Then you ask ""What toppings are popular?"" but Claude doesn't know you're still talking about pizza. What's the problem?",You need to send the whole conversation history with each request,Claude doesn't like pizza,Claude is broken,You're asking too many questions,A,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l4,Claude Basics 4,4,Claude Basics,70,10,sno-104,Claude Basics,Which of the following best describes Computer Use in the context of Claude?,A method for deploying Claude applications to cloud servers,A billing system that tracks how much computational time Claude consumes,A capability that lets Claude interact directly with desktop environments like a human would,A feature that optimizes Claude's processing speed on different hardware,C,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l4,Claude Basics 4,4,Claude Basics,70,10,sno-107,Claude Basics,Claude responds to your request with both explanatory text and a tool use block. What type of message structure is this?,An error message that needs to be fixed,A multi-block message with different content types,A single-block text message,A malformed response that should be ignored,B,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l4,Claude Basics 4,4,Claude Basics,70,10,sno-109,Claude Basics,When should you choose workflows over agents for handling user tasks?,When you're not sure what tasks or parameters you'll give to Claude,When you need maximum flexibility in task completion,When you want Claude to creatively combine tools in unexpected ways,When you can picture the exact flow or steps Claude should go through to solve a problem,D,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l4,Claude Basics 4,4,Claude Basics,70,10,sno-110,Claude Basics,Which of the following best describes why environment inspection is crucial for AI agents?,It helps agents run faster and more efficiently,It allows agents to observe and understand the results of their actions,It simplifies the agent's tool requirements,It reduces the cost of running AI operations,B,,,
claude-foundations,Claude Foundations,"Models, tokens & how Claude thinks",,1,#F5A623,claude-foundations-l4,Claude Basics 4,4,Claude Basics,70,10,sno-125,Claude Basics,Which approach best demonstrates using AI as a learning partner rather than a substitute?,Using AI to quickly finish assignments so you have more free time,Having AI explain the answer to every homework problem,Asking AI to write your essay completely,Requesting AI act as a debate partner to challenge your arguments,D,,,
